Year,State,Urban_Rural,Road_Type,Weather,Vehicle_Type,Accident_Count,Fatalities,Injuries,Severity_Index
2021,Odisha,Rural,SH,Rainy,Two-Wheeler,22984,3087,12784,5.78
2021,Delhi,Rural,Rural,Fog,Truck,10514,762,5853,7.52
2021,Bihar,Urban,NH,Fog,Two-Wheeler,9162,760,3797,8.72
2023,Chhattisgarh,Rural,Rural,Rainy,Car,12100,1549,6145,8.37
2014,Punjab,Urban,Rural,Clear,Bus,19805,2812,11478,9.1
2021,Arunachal Pradesh,Rural,City,Clear,Truck,2500,273,1194,8.4
2019,Arunachal Pradesh,Urban,City,Clear,Bus,15716,1197,8920,6.7
2015,Karnataka,Urban,SH,Clear,Truck,4600,322,2335,8.59
2022,Gujarat,Rural,City,Fog,Bus,6885,570,3334,5.01
2023,Telangana,Rural,SH,Rainy,Two-Wheeler,18771,1078,8907,9.47
2017,Arunachal Pradesh,Urban,SH,Rainy,Bus,13395,1403,6515,8.9
2014,Gujarat,Rural,NH,Rainy,Two-Wheeler,16027,2361,10165,6.19
2015,Rajasthan,Rural,NH,Fog,Two-Wheeler,3646,473,1848,7.46
2015,Uttar Pradesh,Urban,NH,Rainy,Two-Wheeler,7885,721,4809,6.51
2013,Maharashtra,Rural,Rural,Fog,Car,9652,708,4030,6.26
2024,Odisha,Rural,City,Rainy,Truck,11049,1331,7856,8.28
2019,Maharashtra,Rural,NH,Fog,Two-Wheeler,18354,1338,13906,6.91
2010,Goa,Urban,NH,Rainy,Two-Wheeler,16583,2465,8622,7.32
2021,Chhattisgarh,Urban,NH,Fog,Truck,4145,576,1972,8.58
2012,Odisha,Urban,City,Clear,Bus,5404,406,2768,7.72
2015,Delhi,Urban,SH,Clear,Bus,22447,1281,9893,6.6
2012,Telangana,Rural,City,Clear,Bus,17195,2113,11884,6.55
2016,Tamil Nadu,Urban,NH,Fog,Truck,17570,1407,12558,7.03
2022,Chhattisgarh,Urban,Rural,Clear,Car,20910,2591,14743,6.25
2019,Uttarakhand,Rural,SH,Clear,Car,6532,361,4257,5.68
2017,Jharkhand,Rural,SH,Clear,Bus,13636,1159,7836,7.84
2014,Odisha,Urban,City,Fog,Two-Wheeler,22859,1873,16340,8.85
2018,Bihar,Rural,NH,Rainy,Truck,13504,1548,10236,9.41
2019,Himachal Pradesh,Rural,SH,Clear,Bus,1278,119,647,5.04
2018,Assam,Urban,SH,Rainy,Bus,19491,1006,13080,5.23
2019,Bihar,Urban,SH,Clear,Bus,9492,491,6444,6.98
2016,Bihar,Rural,SH,Rainy,Truck,23687,1243,9506,6.02
2023,Odisha,Rural,NH,Clear,Car,11351,958,5330,6.4
2017,Himachal Pradesh,Rural,Rural,Rainy,Two-Wheeler,16463,929,7286,6.66
2010,Haryana,Rural,SH,Rainy,Truck,8626,1064,3562,6.15
2015,Andhra Pradesh,Rural,NH,Rainy,Bus,11097,905,6434,7.72
2023,Uttarakhand,Urban,SH,Rainy,Bus,17322,2173,11928,8.4
2023,Andhra Pradesh,Urban,SH,Clear,Bus,9391,1080,4893,5.05
2023,Madhya Pradesh,Rural,NH,Fog,Truck,9983,551,5091,8.25
2011,Bihar,Urban,City,Clear,Bus,17378,2589,7505,9.23
2012,Haryana,Rural,SH,Clear,Car,19846,2341,11838,5.97
2012,West Bengal,Rural,Rural,Fog,Truck,23034,2032,16457,5.23
2012,Tamil Nadu,Urban,SH,Clear,Truck,1749,201,797,8.49
2016,Telangana,Rural,Rural,Fog,Car,23192,2172,17505,7.41
2018,Goa,Rural,SH,Rainy,Two-Wheeler,23065,2649,11258,8.49
2013,Uttar Pradesh,Rural,NH,Fog,Truck,12967,1144,5978,5.0
2020,Goa,Urban,NH,Rainy,Bus,10545,1064,5306,8.58
2014,Tamil Nadu,Urban,SH,Clear,Two-Wheeler,8438,980,4540,8.52
2010,Arunachal Pradesh,Rural,Rural,Fog,Bus,23028,3411,11110,6.55
2012,Rajasthan,Urban,City,Clear,Car,16001,2231,6805,9.18
2018,Gujarat,Rural,Rural,Fog,Two-Wheeler,16904,2472,11600,5.47
2024,West Bengal,Urban,City,Clear,Two-Wheeler,20458,3059,8662,8.95
2010,Punjab,Urban,NH,Rainy,Car,22618,3160,10056,7.83
2021,Himachal Pradesh,Urban,Rural,Fog,Car,6830,818,4384,6.74
2016,Chhattisgarh,Urban,Rural,Rainy,Car,11649,659,8753,9.36
2016,Delhi,Rural,Rural,Rainy,Two-Wheeler,22424,2798,12598,9.19
2011,Haryana,Urban,SH,Rainy,Bus,12143,1211,9503,5.63
2017,Arunachal Pradesh,Urban,Rural,Clear,Truck,22472,2066,16479,7.81
2022,Maharashtra,Urban,NH,Fog,Two-Wheeler,19147,2178,9827,9.22
2016,Haryana,Urban,Rural,Rainy,Truck,20196,1540,15609,6.68
2011,Uttarakhand,Urban,SH,Fog,Bus,15595,1261,10729,5.01
2017,Tamil Nadu,Urban,Rural,Clear,Car,15109,1617,8055,6.04
2023,West Bengal,Rural,City,Clear,Two-Wheeler,8571,1224,5066,7.59
2018,Jharkhand,Urban,City,Clear,Car,11121,1339,6165,8.12
2022,Maharashtra,Urban,City,Clear,Truck,17458,1663,11803,5.26
2012,Haryana,Urban,Rural,Fog,Bus,1039,59,772,8.82
2024,Delhi,Rural,SH,Fog,Truck,20600,2214,14707,6.38
2011,Uttar Pradesh,Urban,City,Clear,Two-Wheeler,9327,1340,5857,5.22
2014,Arunachal Pradesh,Urban,Rural,Rainy,Car,15364,2001,11367,5.79
2013,Haryana,Rural,City,Rainy,Car,12532,1525,9684,8.3
2019,Delhi,Rural,SH,Fog,Car,13159,1570,9319,6.37
2010,Assam,Rural,NH,Rainy,Car,23254,3379,17274,5.65
2012,Maharashtra,Rural,SH,Rainy,Truck,2266,217,1413,8.0
2013,Haryana,Rural,City,Fog,Car,4240,620,2897,5.36
2016,Gujarat,Rural,Rural,Rainy,Bus,4803,685,2928,7.52
2021,Himachal Pradesh,Urban,Rural,Fog,Truck,4775,371,3488,5.53
2021,Maharashtra,Rural,Rural,Fog,Car,16495,1348,8069,6.52
2013,Goa,Urban,NH,Rainy,Truck,883,127,413,6.97
2023,Karnataka,Urban,SH,Fog,Truck,2314,191,1588,7.45
2011,Bihar,Urban,SH,Fog,Bus,10741,1396,4305,7.52
2013,West Bengal,Rural,SH,Clear,Bus,13612,1406,9242,8.52
2017,Punjab,Rural,SH,Rainy,Car,866,58,476,5.42
2014,Uttarakhand,Rural,SH,Clear,Two-Wheeler,2453,126,1339,6.92
2012,Tamil Nadu,Rural,SH,Rainy,Bus,5759,381,3590,5.5
2014,Odisha,Rural,Rural,Clear,Car,17411,1975,11235,9.01
2016,Odisha,Urban,City,Fog,Bus,19771,2848,8656,7.05
2019,Gujarat,Urban,Rural,Fog,Car,16178,2378,8463,5.26
2010,Assam,Rural,Rural,Fog,Bus,16998,2199,12347,8.33
2014,West Bengal,Urban,SH,Fog,Car,7770,932,3521,5.51
2016,Rajasthan,Urban,SH,Clear,Car,23016,1430,11955,8.61
2017,Chhattisgarh,Urban,NH,Clear,Car,19018,1768,9057,9.43
2013,Maharashtra,Rural,City,Clear,Bus,10148,1021,5264,6.03
2011,Tamil Nadu,Urban,City,Clear,Two-Wheeler,9410,735,5735,8.58
2020,Jharkhand,Rural,Rural,Rainy,Two-Wheeler,3796,340,2738,6.44
